,precision,recall,f1-score,support
EDGAR CHAIREZ,0.0,0.0,0.0,1.0
EDIMILSON SOUZA,0.0,0.0,0.0,1.0
EDMEN SHAHBAZYAN,0.0,0.0,0.0,0.0
EDSON BARBOZA,0.0,0.0,0.0,3.0
EDUARDA MOURA,0.0,0.0,0.0,1.0
EDUARDO GARAGORRI,0.0,0.0,0.0,0.0
EDWIN FIGUEROA,0.0,0.0,0.0,2.0
EFRAIN ESCUDERO,0.0,0.0,0.0,0.0
ELIAS SILVERIO,0.0,0.0,0.0,2.0
ELIAS THEODOROU,0.0,0.0,0.0,1.0
ELIJAH SMITH,0.0,0.0,0.0,0.0
ELIOT MARSHALL,0.0,0.0,0.0,1.0
ELISE REED,0.0,0.0,0.0,0.0
ELIZABETH PHILLIPS,0.0,0.0,0.0,0.0
ELIZEU ZALESKI DOS SANTOS,0.0,0.0,0.0,5.0
ELVES BRENER,0.0,0.0,0.0,0.0
ELVIS SINOSIC,0.0,0.0,0.0,0.0
EMIL MEEK,0.0,0.0,0.0,1.0
EMILY DUCOTE,0.0,0.0,0.0,2.0
EMILY WHITMIRE,0.0,0.0,0.0,1.0
ENRIQUE BARZOLA,0.0,0.0,0.0,2.0
ENSON INOUE,0.0,0.0,0.0,1.0
ERIC MCCONICO,0.0,0.0,0.0,0.0
ERIC SCHAFER,0.0,0.0,0.0,0.0
ERIC SHELTON,0.0,0.0,0.0,0.0
ERIC SPICELY,0.0,0.0,0.0,0.0
ERICK MONTANO,0.0,0.0,0.0,0.0
ERICK SILVA,0.0,0.0,0.0,2.0
ERIK KOCH,0.0,0.0,0.0,2.0
ERIK PEREZ,0.0,0.0,0.0,2.0
ERIN BLANCHFIELD,0.0,0.0,0.0,1.0
ERNEST CHAVEZ,0.0,0.0,0.0,0.0
ERNESTA KARECKAITE,0.0,0.0,0.0,0.0
ERYK ANDERS,0.0,0.0,0.0,2.0
ESTEBAN RIBOVICS,0.0,0.0,0.0,1.0
EUGENE JACKSON,0.0,0.0,0.0,2.0
EVAN DUNHAM,0.0,0.0,0.0,2.0
EVAN ELDER,0.0,0.0,0.0,0.0
EVAN TANNER,0.0,0.0,0.0,1.0
FABIANO IHA,0.0,0.0,0.0,0.0
FABIO MALDONADO,0.0,0.0,0.0,2.0
FABRICIO CAMOES,0.0,0.0,0.0,0.0
FABRICIO WERDUM,0.0,0.0,0.0,4.0
FALANIKO VITALE,0.0,0.0,0.0,0.0
FARES ZIAM,0.0,0.0,0.0,1.0
FARID BASHARAT,0.0,0.0,0.0,0.0
FATIMA KLINE,0.0,0.0,0.0,0.0
FELICE HERRIG,0.0,0.0,0.0,1.0
FELICIA SPENCER,0.0,0.0,0.0,1.0
FELIPE ARANTES,0.0,0.0,0.0,1.0
FELIPE BUNES,0.0,0.0,0.0,1.0
FELIPE COLARES,0.0,0.0,0.0,0.0
FELIPE DOS SANTOS,0.0,0.0,0.0,1.0
FELIPE LIMA,0.0,0.0,0.0,1.0
FELIPE SILVA,0.0,0.0,0.0,0.0
FERNANDO PADILLA,0.0,0.0,0.0,0.0
FORREST GRIFFIN,0.0,0.0,0.0,1.0
FORREST PETZ,0.0,0.0,0.0,1.0
FRANCIMAR BARROSO,0.0,0.0,0.0,1.0
FRANCIS CARMONT,0.0,0.0,0.0,3.0
FRANCIS MARSHALL,0.0,0.0,0.0,2.0
FRANCIS NGANNOU,0.0,0.0,0.0,4.0
FRANCISCO FIGUEIREDO,0.0,0.0,0.0,1.0
FRANCISCO PRADO,0.0,0.0,0.0,0.0
FRANCISCO RIVERA,0.0,0.0,0.0,1.0
FRANCISCO TREVINO,0.0,0.0,0.0,1.0
FRANCISCO TRINALDO,0.0,0.0,0.0,1.0
FRANK CAMACHO,0.0,0.0,0.0,0.0
FRANK HAMAKER,0.0,0.0,0.0,1.0
FRANK MIR,0.0,0.0,0.0,3.0
FRANK SHAMROCK,0.5,0.3333333333333333,0.4,3.0
FRANK TRIGG,0.0,0.0,0.0,1.0
FRANKIE EDGAR,0.0,0.0,0.0,1.0
FRANKIE PEREZ,0.0,0.0,0.0,0.0
FRANKIE SAENZ,0.0,0.0,0.0,0.0
FREDY SERRANO,0.0,0.0,0.0,0.0
GABE GREEN,0.0,0.0,0.0,0.0
GABRIEL BENITEZ,0.0,0.0,0.0,3.0
GABRIEL BONFIM,0.0,0.0,0.0,2.0
GABRIEL GONZAGA,0.0,0.0,0.0,3.0
GABRIEL MIRANDA,0.0,0.0,0.0,0.0
GABRIEL SANTOS,0.0,0.0,0.0,1.0
GABRIELLA FERNANDES,0.0,0.0,0.0,2.0
GADZHIMURAD ANTIGULOV,0.0,0.0,0.0,1.0
GALORE BOFANDO,0.0,0.0,0.0,0.0
GAN MCGEE,0.0,0.0,0.0,1.0
GARRETH MCLELLAN,0.0,0.0,0.0,0.0
GARRETT ARMFIELD,0.0,0.0,0.0,1.0
GARY GOODRIDGE,0.0,0.0,0.0,0.0
GASAN UMALATOV,0.0,0.0,0.0,0.0
GASTON BOLANOS,0.0,0.0,0.0,0.0
GAUGE YOUNG,0.0,0.0,0.0,0.0
GAVIN TUCKER,0.0,0.0,0.0,0.0
GEANE HERRERA,0.0,0.0,0.0,0.0
GEGARD MOUSASI,0.0,0.0,0.0,0.0
GENKI SUDO,0.0,0.0,0.0,0.0
GEOFF NEAL,0.0,0.0,0.0,0.0
GEORGE ROOP,0.0,0.0,0.0,0.0
GEORGE SOTIROPOULOS,0.0,0.0,0.0,0.0
GEORGE SULLIVAN,0.0,0.0,0.0,0.0
GEORGES ST-PIERRE,0.0,0.0,0.0,3.0
GERALD HARRIS,0.0,0.0,0.0,0.0
GERALD MEERSCHAERT,0.0,0.0,0.0,2.0
GERALDO DE FREITAS,0.0,0.0,0.0,0.0
GERMAINE DE RANDAMIE,0.0,0.0,0.0,3.0
GEZA KALMAN,0.0,0.0,0.0,0.0
GIAN VILLANTE,0.0,0.0,0.0,1.0
GIGA CHIKADZE,0.0,0.0,0.0,0.0
GIL CASTILLO,0.0,0.0,0.0,0.0
GILBERT BURNS,0.0,0.0,0.0,0.0
GILBERT MELENDEZ,0.0,0.0,0.0,0.0
GILBERT URBINA,0.0,0.0,0.0,0.0
GILLIAN ROBERTSON,0.0,0.0,0.0,3.0
GINA MAZANY,0.0,0.0,0.0,0.0
GLAICO FRANCA MOREIRA,0.0,0.0,0.0,0.0
GLEISON TIBAU,0.0,0.0,0.0,0.0
GLORIA DE PAULA,0.0,0.0,0.0,0.0
GLOVER TEIXEIRA,0.0,0.0,0.0,3.0
GODOFREDO PEPEY,0.0,0.0,0.0,0.0
GOKHAN SAKI,0.0,0.0,0.0,0.0
GORAN RELJIC,0.0,0.0,0.0,1.0
GRANT DAWSON,0.0,0.0,0.0,2.0
GRAY MAYNARD,0.0,0.0,0.0,4.0
GREG HARDY,0.0,0.0,0.0,1.0
GREG SOTO,0.0,0.0,0.0,1.0
GREGOR GILLESPIE,0.0,0.0,0.0,3.0
GREGORY RODRIGUES,0.0,0.0,0.0,0.0
GUANGYOU NING,0.0,0.0,0.0,1.0
GUIDO CANNETTI,0.0,0.0,0.0,0.0
GUNNAR NELSON,0.0,0.0,0.0,0.0
GURAM KUTATELADZE,0.0,0.0,0.0,0.0
GUSTAVO LOPEZ,0.0,0.0,0.0,1.0
GUY MEZGER,0.0,0.0,0.0,2.0
HACRAN DIAS,0.0,0.0,0.0,1.0
HAKEEM DAWODU,0.0,0.0,0.0,3.0
HAMDY ABDELWAHAB,0.0,0.0,0.0,0.0
HANNAH CIFERS,0.0,0.0,0.0,0.0
HANNAH GOLDY,0.0,0.0,0.0,0.0
HANS STRINGER,0.0,0.0,0.0,0.0
HAROLD HOWARD,0.0,0.0,0.0,0.0
HATSU HIOKI,0.0,0.0,0.0,0.0
HEATH HERRING,0.0,0.0,0.0,0.0
HEATHER CLARK,0.0,0.0,0.0,0.0
HECTOR LOMBARD,0.0,0.0,0.0,1.0
HECTOR SANDOVAL,0.0,0.0,0.0,0.0
HECTOR URBINA,0.0,0.0,0.0,0.0
HENRIQUE DA SILVA,0.0,0.0,0.0,1.0
HENRY BRIONES,0.0,0.0,0.0,0.0
HENRY CEJUDO,0.0,0.0,0.0,4.0
HENRY MARTINEZ,0.0,0.0,0.0,0.0
HERBERT BURNS,0.0,0.0,0.0,0.0
HERMES FRANCA,0.0,0.0,0.0,0.0
HOLLY HOLM,0.0,0.0,0.0,4.0
HOUSTON ALEXANDER,0.0,0.0,0.0,1.0
HUGO VIANA,0.0,0.0,0.0,1.0
HUMBERTO BANDENAY,0.0,0.0,0.0,1.0
HUNTER AZURE,0.0,0.0,0.0,0.0
HYDER AMIL,0.0,0.0,0.0,0.0
HYUN GYU LIM,0.0,0.0,0.0,0.0
HYUNSUNG PARK,0.0,0.0,0.0,0.0
IAN ENTWISTLE,0.0,0.0,0.0,1.0
IAN FREEMAN,0.0,0.0,0.0,0.0
IAN HEINISCH,0.0,0.0,0.0,0.0
IAN LOVELAND,0.0,0.0,0.0,0.0
IAN MACHADO GARRY,0.0,0.0,0.0,3.0
IAN MCCALL,0.0,0.0,0.0,0.0
IASMIN LUCINDO,0.0,0.0,0.0,0.0
IBO ASLAN,0.0,0.0,0.0,1.0
IGNACIO BAHAMONDES,0.0,0.0,0.0,2.0
IGOR ARAUJO,0.0,0.0,0.0,0.0
IGOR POKRAJAC,0.0,0.0,0.0,0.0
IHOR POTIERIA,0.0,0.0,0.0,0.0
IKE VILLANUEVA,0.0,0.0,0.0,0.0
IKRAM ALISKEROV,0.0,0.0,0.0,0.0
IKUHISA MINOWA,0.0,0.0,0.0,0.0
ILDEMAR ALCANTARA,0.0,0.0,0.0,2.0
ILIA TOPURIA,0.0,0.0,0.0,1.0
ILIR LATIFI,0.0,0.0,0.0,0.0
IMPA KASANGANAY,0.0,0.0,0.0,0.0
ION CUTELABA,0.0,0.0,0.0,3.0
IRENE ALDANA,0.0,0.0,0.0,2.0
IRINA ALEKSEEVA,0.0,0.0,0.0,1.0
IRWIN RIVERA,0.0,0.0,0.0,0.0
ISAAC DULGARIAN,0.0,0.0,0.0,1.0
ISAAC VALLIE-FLAGG,0.0,0.0,0.0,1.0
ISLAM DULATOV,0.0,0.0,0.0,1.0
ISLAM MAKHACHEV,0.0,0.0,0.0,5.0
ISMAEL BONFIM,0.0,0.0,0.0,0.0
ISMAIL NAURDIEV,0.0,0.0,0.0,2.0
ISRAEL ADESANYA,0.0,0.0,0.0,2.0
ISSEI TAMURA,0.0,0.0,0.0,1.0
IURI ALCANTARA,0.0,0.0,0.0,1.0
IVAN JORGE,0.0,0.0,0.0,0.0
IVAN MENJIVAR,0.0,0.0,0.0,2.0
IVAN SALAVERRY,0.0,0.0,0.0,0.0
IVANA PETROVIC,0.0,0.0,0.0,0.0
JACARE SOUZA,0.0,0.0,0.0,2.0
JACK DELLA MADDALENA,0.0,0.0,0.0,3.0
JACK HERMANSSON,0.0,0.0,0.0,4.0
JACK JENKINS,0.0,0.0,0.0,0.0
JACK MARSHMAN,0.0,0.0,0.0,0.0
JACK NILSON,0.0,0.0,0.0,1.0
JACK SHORE,0.0,0.0,0.0,0.0
JACOB MALKOUN,0.0,0.0,0.0,1.0
JACOB VOLKMANN,0.0,0.0,0.0,0.0
JACOBE SMITH,0.0,0.0,0.0,0.0
JACQUELINE CAVALCANTI,0.0,0.0,0.0,0.0
JAFEL FILHO,0.0,0.0,0.0,0.0
JAI HERBERT,0.0,0.0,0.0,1.0
JAILTON ALMEIDA,0.0,0.0,0.0,1.0
JAIRZINHO ROZENSTRUIK,0.0,0.0,0.0,2.0
JAKE COLLIER,0.0,0.0,0.0,0.0
JAKE ELLENBERGER,0.0,0.0,0.0,2.0
JAKE HADLEY,0.0,0.0,0.0,0.0
JAKE HECHT,0.0,0.0,0.0,0.0
JAKE MATTHEWS,0.0,0.0,0.0,5.0
JAKE O'BRIEN,0.0,0.0,0.0,0.0
JAKE ROSHOLT,0.0,0.0,0.0,0.0
JAKE SHIELDS,0.0,0.0,0.0,2.0
JALIN TURNER,0.0,0.0,0.0,1.0
JAMAHAL HILL,0.0,0.0,0.0,2.0
JAMAL POGUES,0.0,0.0,0.0,0.0
JAMALL EMMERS,0.0,0.0,0.0,1.0
JAMES HEAD,0.0,0.0,0.0,1.0
JAMES IRVIN,0.0,0.0,0.0,1.0
JAMES KRAUSE,0.0,0.0,0.0,1.0
JAMES MCSWEENEY,0.0,0.0,0.0,0.0
JAMES MOONTASRI,0.0,0.0,0.0,0.0
JAMES TE HUNA,0.0,0.0,0.0,0.0
JAMES VICK,0.0,0.0,0.0,1.0
JAMES WILKS,0.0,0.0,0.0,0.0
JAMEY-LYN HORTH,0.0,0.0,0.0,0.0
JAMIE MOYLE,0.0,0.0,0.0,0.0
JAMIE MULLARKEY,0.0,0.0,0.0,2.0
JAMIE PICKETT,0.0,0.0,0.0,2.0
JAMIE VARNER,0.0,0.0,0.0,0.0
JAN BLACHOWICZ,0.0,0.0,0.0,5.0
JAQUELINE AMORIM,0.0,0.0,0.0,1.0
JARED CANNONIER,0.0,0.0,0.0,3.0
JARED GOODEN,0.0,0.0,0.0,1.0
JARED GORDON,0.0,0.0,0.0,2.0
JARED HAMMAN,0.0,0.0,0.0,1.0
JARED ROSHOLT,0.0,0.0,0.0,0.0
JARED VANDERAA,0.0,0.0,0.0,0.0
JARJIS DANHO,0.0,0.0,0.0,1.0
JARNO ERRENS,0.0,0.0,0.0,1.0
JARRED BROOKS,0.0,0.0,0.0,1.0
JASMINE JASUDAVICIUS,0.0,0.0,0.0,0.0
JASON BRILZ,0.0,0.0,0.0,0.0
JASON DAY,0.0,0.0,0.0,1.0
JASON DELUCIA,0.0,0.0,0.0,1.0
JASON DENT,0.0,0.0,0.0,0.0
JASON GONZALEZ,0.0,0.0,0.0,0.0
JASON HIGH,0.0,0.0,0.0,0.0
JASON KNIGHT,0.3333333333333333,0.5,0.4,2.0
JASON LAMBERT,0.0,0.0,0.0,0.0
JASON MACDONALD,0.0,0.0,0.0,1.0
JASON SAGGO,0.0,0.0,0.0,0.0
JASON VON FLUE,0.0,0.0,0.0,0.0
JASON WITT,0.0,0.0,0.0,0.0
JASON YOUNG,0.0,0.0,0.0,0.0
JAVID BASHARAT,0.0,0.0,0.0,1.0
JAVIER VAZQUEZ,0.0,0.0,0.0,0.0
JEAN MATSUMOTO,0.0,0.0,0.0,2.0
JEAN SILVA,0.0,0.0,0.0,1.0
JEFF HOUGLAND,0.0,0.0,0.0,0.0
JEFF MOLINA,0.0,0.0,0.0,0.0
JEFF MONSON,0.0,0.0,0.0,0.0
JEKA SARAGIH,0.0,0.0,0.0,0.0
JENEL LAUSA,0.0,0.0,0.0,1.0
JENNIFER MAIA,0.0,0.0,0.0,1.0
JENS PULVER,0.0,0.0,0.0,2.0
JEONGYEONG LEE,0.0,0.0,0.0,0.0
JEREMIAH WELLS,0.0,0.0,0.0,0.0
JEREMY HORN,0.0,0.0,0.0,0.0
JEREMY KENNEDY,0.0,0.0,0.0,0.0
JEREMY KIMBALL,0.0,0.0,0.0,0.0
JEREMY STEPHENS,0.0,0.0,0.0,0.0
JERROD SANDERS,0.0,0.0,0.0,0.0
JERRY BOHLANDER,0.0,0.0,0.0,0.0
JESS LIAUDIN,0.0,0.0,0.0,0.0
JESSAMYN DUKE,0.0,0.0,0.0,0.0
JESSE LENNOX,0.0,0.0,0.0,0.0
JESSE TAYLOR,0.0,0.0,0.0,0.0
JESSICA AGUILAR,0.0,0.0,0.0,0.0
JESSICA ANDRADE,0.0,0.0,0.0,6.0
JESSICA EYE,0.0,0.0,0.0,0.0
JESSICA PENNE,0.0,0.0,0.0,1.0
JESSICA-ROSE CLARK,0.0,0.0,0.0,2.0
JESSIN AYARI,0.0,0.0,0.0,0.0
JESUS AGUILAR,0.0,0.0,0.0,1.0
JESUS PINEDO,0.0,0.0,0.0,0.0
JHONATA DINIZ,0.0,0.0,0.0,0.0
JI YEON KIM,0.0,0.0,0.0,0.0
JIM ALERS,0.0,0.0,0.0,0.0
JIM MILLER,0.0,0.0,0.0,7.0
JIMI MANUWA,0.0,0.0,0.0,1.0
JIMMIE RIVERA,0.0,0.0,0.0,1.0
JIMMY CRUTE,0.0,0.0,0.0,1.0
JIMMY FLICK,0.0,0.0,0.0,0.0
JIMY HETTES,0.0,0.0,0.0,0.0
JINH YU FREY,0.0,0.0,0.0,1.0
JIRI PROCHAZKA,0.0,0.0,0.0,1.0
JJ ALDRICH,0.0,0.0,0.0,1.0
JOACHIM CHRISTENSEN,0.0,0.0,0.0,0.0
JOANDERSON BRITO,0.0,0.0,0.0,1.0
JOANNA JEDRZEJCZYK,0.2,0.25,0.2222222222222222,4.0
JOANNE WOOD,0.0,0.0,0.0,2.0
JOAQUIM SILVA,0.0,0.0,0.0,1.0
JOAQUIN BUCKLEY,0.0,0.0,0.0,3.0
JOBY SANCHEZ,0.0,0.0,0.0,1.0
JOE DOERKSEN,0.0,0.0,0.0,0.0
JOE DUFFY,0.0,0.0,0.0,0.0
JOE ELLENBERGER,0.0,0.0,0.0,0.0
JOE LAUZON,0.0,0.0,0.0,4.0
JOE MOREIRA,0.0,0.0,0.0,0.0
JOE PROCTOR,0.0,0.0,0.0,1.0
JOE PYFER,0.0,0.0,0.0,0.0
JOE RIGGS,0.0,0.0,0.0,0.0
JOE SLICK,0.0,0.0,0.0,0.0
JOE SOLECKI,0.0,0.0,0.0,0.0
JOE SOTO,0.0,0.0,0.0,1.0
JOE STEVENSON,0.0,0.0,0.0,1.0
JOEL ALVAREZ,0.0,0.0,0.0,2.0
JOEY BELTRAN,0.0,0.0,0.0,0.0
JOHN ALBERT,0.0,0.0,0.0,1.0
JOHN CASTANEDA,0.0,0.0,0.0,1.0
JOHN CHOLISH,0.0,0.0,0.0,0.0
JOHN DODSON,0.0,0.0,0.0,2.0
JOHN GUNDERSON,0.0,0.0,0.0,0.0
JOHN GUNTHER,0.0,0.0,0.0,0.0
JOHN HATHAWAY,0.0,0.0,0.0,1.0
JOHN HOWARD,0.0,0.0,0.0,1.0
JOHN LEWIS,0.0,0.0,0.0,0.0
JOHN LINEKER,0.0,0.0,0.0,3.0
JOHN MAGUIRE,0.0,0.0,0.0,0.0
JOHN MAKDESSI,0.0,0.0,0.0,5.0
JOHN MORAGA,0.0,0.0,0.0,1.0
JOHN PHILLIPS,0.0,0.0,0.0,0.0
JOHN SALTER,0.0,0.0,0.0,0.0
JOHNNY BEDFORD,0.0,0.0,0.0,1.0
JOHNNY CASE,0.0,0.0,0.0,1.0
JOHNNY EDUARDO,0.0,0.0,0.0,1.0
JOHNNY MUNOZ,0.0,0.0,0.0,1.0
JOHNNY RHODES,0.0,0.0,0.0,0.0
JOHNNY WALKER,0.0,0.0,0.0,2.0
JOHNY HENDRICKS,0.0,0.0,0.0,1.0
JON DELOS REYES,0.0,0.0,0.0,0.0
JON FITCH,0.0,0.0,0.0,2.0
JON HESS,0.0,0.0,0.0,0.0
JON JONES,0.0,0.0,0.0,4.0
JON MADSEN,0.0,0.0,0.0,1.0
JON TUCK,0.0,0.0,0.0,0.0
JONATHAN BROOKINS,0.0,0.0,0.0,0.0
JONATHAN GOULET,0.0,0.0,0.0,0.0
JONATHAN MARTINEZ,0.0,0.0,0.0,2.0
JONATHAN MEUNIER,0.0,0.0,0.0,1.0
JONATHAN MICALLEF,0.0,0.0,0.0,0.0
JONATHAN PEARCE,0.0,0.0,0.0,1.0
JONATHAN WIEZOREK,0.0,0.0,0.0,1.0
JONATHAN WILSON,0.0,0.0,0.0,1.0
JONNY PARSONS,0.0,0.0,0.0,0.0
JOOSANG YOO,0.0,0.0,0.0,0.0
JORDAN ESPINOSA,0.0,0.0,0.0,1.0
JORDAN GRIFFIN,0.0,0.0,0.0,0.0
JORDAN JOHNSON,0.0,0.0,0.0,2.0
JORDAN LEAVITT,0.0,0.0,0.0,1.0
JORDAN MEIN,0.0,0.0,0.0,1.0
JORDAN RINALDI,0.0,0.0,0.0,1.0
JORDAN WRIGHT,0.0,0.0,0.0,1.0
JORGE GURGEL,0.0,0.0,0.0,0.0
JORGE MASVIDAL,0.0,0.0,0.0,2.0
JORGE RIVERA,0.0,0.0,0.0,1.0
JORGE SANTIAGO,0.0,0.0,0.0,1.0
JOSE ALDO,0.0,0.0,0.0,4.0
JOSE DELGADO,0.0,0.0,0.0,1.0
JOSE JOHNSON,0.0,0.0,0.0,1.0
JOSE OCHOA,0.0,0.0,0.0,0.0
JOSE QUINONEZ,0.0,0.0,0.0,2.0
JOSE TORRES,0.0,0.0,0.0,0.0
JOSEFINE KNUTSSON,0.0,0.0,0.0,0.0
JOSELYNE EDWARDS,0.0,0.0,0.0,0.0
JOSEPH BENAVIDEZ,0.0,0.0,0.0,3.0
JOSEPH HOLMES,0.0,0.0,0.0,1.0
JOSEPH MORALES,0.0,0.0,0.0,0.0
JOSH BARNETT,0.0,0.0,0.0,1.0
JOSH CULIBAO,0.0,0.0,0.0,2.0
JOSH EMMETT,0.0,0.0,0.0,2.0
JOSH FREMD,0.0,0.0,0.0,0.0
JOSH KOSCHECK,0.0,0.0,0.0,1.0
JOSH NEER,0.0,0.0,0.0,0.0
JOSH PARISIAN,0.0,0.0,0.0,2.0
JOSH QUINLAN,0.0,0.0,0.0,0.0
JOSH SAMMAN,0.0,0.0,0.0,0.0
JOSH SAMPO,0.0,0.0,0.0,0.0
JOSH STANSBURY,0.0,0.0,0.0,0.0
JOSH THOMSON,0.0,0.0,0.0,1.0
JOSHUA BURKMAN,0.0,0.0,0.0,1.0
JOSHUA VAN,0.0,0.0,0.0,1.0
JOSIANE NUNES,0.0,0.0,0.0,0.0
JOURNEY NEWSON,0.0,0.0,0.0,0.0
JUAN ADAMS,0.0,0.0,0.0,0.0
JUAN ESPINO,0.0,0.0,0.0,0.0
JULIA AVILA,0.0,0.0,0.0,0.0
JULIA POLASTRI,0.0,0.0,0.0,0.0
JULIAN EROSA,0.0,0.0,0.0,3.0
JULIAN MARQUEZ,0.0,0.0,0.0,1.0
JULIANA LIMA,0.0,0.0,0.0,1.0
JULIANA MILLER,0.0,0.0,0.0,0.0
JULIANNA PENA,0.0,0.0,0.0,2.0
JULIJA STOLIARENKO,0.5,1.0,0.6666666666666666,1.0
JULIO ARCE,0.0,0.0,0.0,2.0
JULIUS WALKER,0.0,0.0,0.0,0.0
JUNIE BROWNING,0.0,0.0,0.0,1.0
JUNIOR ALBINI,0.0,0.0,0.0,0.0
JUNIOR ASSUNCAO,0.0,0.0,0.0,0.0
JUNIOR DOS SANTOS,0.0,0.0,0.0,2.0
JUNIOR TAFA,0.0,0.0,0.0,1.0
JUNYONG PARK,0.0,0.0,0.0,3.0
JUSSIER FORMIGA,0.0,0.0,0.0,1.0
JUSTIN BUCHHOLZ,0.0,0.0,0.0,0.0
JUSTIN EDWARDS,0.0,0.0,0.0,0.0
JUSTIN EILERS,0.0,0.0,0.0,0.0
JUSTIN GAETHJE,0.0,0.0,0.0,2.0
JUSTIN JAYNES,0.0,0.0,0.0,0.0
JUSTIN LAWRENCE,0.0,0.0,0.0,0.0
JUSTIN LEDET,0.0,0.0,0.0,0.0
JUSTIN MCCULLY,0.0,0.0,0.0,0.0
JUSTIN SALAS,0.0,0.0,0.0,0.0
JUSTIN SCOGGINS,0.0,0.0,0.0,3.0
JUSTIN TAFA,0.0,0.0,0.0,1.0
JUSTIN WILLIS,0.0,0.0,0.0,1.0
JUSTINE KISH,0.0,0.0,0.0,0.0
JUTARO NAKAO,0.0,0.0,0.0,0.0
KAI KAMAKA,0.0,0.0,0.0,0.0
KAI KARA-FRANCE,0.0,0.0,0.0,2.0
KAILIN CURRAN,0.0,0.0,0.0,0.0
KAJAN JOHNSON,0.0,0.0,0.0,2.0
KALIB STARNES,0.0,0.0,0.0,0.0
KAMARU USMAN,0.0,0.0,0.0,4.0
KAMUELA KIRK,0.0,0.0,0.0,0.0
KANAKO MURATA,0.0,0.0,0.0,1.0
KARINE SILVA,0.0,0.0,0.0,2.0
KARL ROBERSON,0.0,0.0,0.0,2.0
KARL WILLIAMS,0.0,0.0,0.0,1.0
KARLOS VEMOLA,0.0,0.0,0.0,0.0
KARO PARISYAN,0.0,0.0,0.0,1.0
KAROL ROSA,0.0,0.0,0.0,2.0
KAROLINA KOWALKIEWICZ,0.0,0.0,0.0,0.0
KATLYN CERMINARA,0.0,0.0,0.0,3.0
KATSUHISA FUJII,0.0,0.0,0.0,0.0
KATSUNORI KIKUNO,0.0,0.0,0.0,0.0
KAUE FERNANDES,0.0,0.0,0.0,0.0
KAY HANSEN,0.0,0.0,0.0,1.0
KAYLA HARRISON,0.0,0.0,0.0,1.0
KAZUKI TOKUDOME,0.0,0.0,0.0,0.0
KAZULA VARGAS,0.0,0.0,0.0,0.0
KAZUSHI SAKURABA,0.0,0.0,0.0,0.0
KEITA NAKAMURA,0.0,0.0,0.0,1.0
KEITH HACKNEY,0.0,0.0,0.0,1.0
KEITH JARDINE,0.0,0.0,0.0,1.0
KEITH ROCKEL,0.0,0.0,0.0,0.0
KELVIN GASTELUM,0.0,0.0,0.0,4.0
KEN SHAMROCK,0.0,0.0,0.0,2.0
KEN STONE,0.0,0.0,0.0,1.0
KENDALL GROVE,0.0,0.0,0.0,3.0
KENICHI YAMAMOTO,0.0,0.0,0.0,0.0
KENNEDY NZECHUKWU,0.0,0.0,0.0,2.0
KENNY FLORIAN,0.0,0.0,0.0,1.0
KENNY ROBERTSON,0.0,0.0,0.0,1.0
KETLEN SOUZA,0.0,0.0,0.0,0.0
KETLEN VIEIRA,0.0,0.0,0.0,2.0
KEVIN AGUILAR,0.0,0.0,0.0,1.0
KEVIN BORJAS,0.0,0.0,0.0,0.0
KEVIN BURNS,0.0,0.0,0.0,1.0
KEVIN CASEY,0.0,0.0,0.0,1.0
KEVIN FERGUSON,0.0,0.0,0.0,0.0
KEVIN HOLLAND,0.0,0.0,0.0,1.0
KEVIN JACKSON,0.0,0.0,0.0,2.0
KEVIN JOUSSET,0.0,0.0,0.0,0.0
KEVIN LEE,0.0,0.0,0.0,1.0
KEVIN RANDLEMAN,0.0,0.0,0.0,2.0
KEVIN VALLEJOS,0.0,0.0,0.0,1.0
KHABIB NURMAGOMEDOV,0.0,0.0,0.0,1.0
KHALID MURTAZALIEV,0.0,0.0,0.0,0.0
KHALID TAHA,0.0,0.0,0.0,0.0
KHALIL ROUNTREE JR.,0.0,0.0,0.0,3.0
KHAMA WORTHY,0.0,0.0,0.0,0.0
KHAMZAT CHIMAEV,0.0,0.0,0.0,4.0
KHAOS WILLIAMS,0.0,0.0,0.0,0.0
KIICHI KUNIMOTO,0.0,0.0,0.0,1.0
KIMO LEOPOLDO,0.0,0.0,0.0,0.0
KING GREEN,0.0,0.0,0.0,3.0
KJ NOONS,0.0,0.0,0.0,1.0
KLAUDIA SYGULA,0.0,0.0,0.0,0.0
KLEYDSON RODRIGUES,0.0,0.0,0.0,0.0
KLIDSON ABREU,0.0,0.0,0.0,0.0
KRON GRACIE,0.0,0.0,0.0,0.0
KRZYSZTOF JOTKO,0.0,0.0,0.0,2.0
KRZYSZTOF SOSZYNSKI,0.0,0.0,0.0,0.0
KUNIYOSHI HIRONAKA,0.0,0.0,0.0,0.0
KURT HOLOBAUGH,0.0,0.0,0.0,0.0
KURT PELLEGRINO,0.0,0.0,0.0,3.0
KYLE BOCHNIAK,0.0,0.0,0.0,0.0
KYLE BRADLEY,0.0,0.0,0.0,0.0
KYLE DAUKAUS,0.0,0.0,0.0,0.0
KYLE KINGSBURY,0.0,0.0,0.0,0.0
KYLE NELSON,0.0,0.0,0.0,0.0
KYLE NOKE,0.0,0.0,0.0,2.0
KYLE WATSON,0.0,0.0,0.0,0.0
KYLER PHILLIPS,0.0,0.0,0.0,2.0
